AMD;A4-4000;2.463
Intel;i3;2.095
Intel;i5;2.075
AMD;FX-6300;2.418
Intel;i5;1.899
Intel;i5;1.872
Intel;i5;2.056
Intel;i5;1.887
AMD;A4-4000;2.351
Intel;i3;1.906
AMD;A4-4000;2.341
AMD;FX-6300;2.638
AMD;FX-6300;2.311
Intel;i3;1.904
AMD;A4-4000;1.883
Intel;i3;1.971
AMD;A4-4000;1.918
AMD;FX-6300;2.393
AMD;FX-6300;2.741
AMD;A4-4000;2.220
Intel;i3;2.076
Intel;i5;2.053
AMD;FX-6300;2.059
AMD;FX-6300;2.383
Intel;i5;1.579
Intel;i3;2.053
Intel;i3;1.757
AMD;FX-6300;2.443
Intel;i5;2.069
Intel;i3;1.820
Intel;i5;2.058
Intel;i5;1.911
Intel;i5;1.644
AMD;A4-4000;2.424
AMD;A4-4000;2.294
Intel;i3;1.819
AMD;A4-4000;2.146
Intel;i3;2.075
AMD;FX-6300;2.476
AMD;A4-4000;2.136
AMD;FX-6300;2.742
AMD;FX-6300;2.448
Intel;i5;1.993
AMD;FX-6300;2.532
Intel;i3;2.090
Intel;i5;2.062
Intel;i3;1.912
Intel;i5;1.957
AMD;FX-6300;2.556
AMD;A4-4000;2.571
AMD;FX-6300;2.417
Intel;i5;1.917
Intel;i3;1.891
AMD;A4-4000;2.588
Intel;i5;2.088
AMD;FX-6300;2.811
AMD;FX-6300;2.480
Intel;i3;1.785
AMD;A4-4000;1.965
AMD;A4-4000;2.526
AMD;A4-4000;2.398
AMD;A4-4000;2.352
AMD;FX-6300;2.685
Intel;i3;1.849
Intel;i3;1.440
Intel;i5;1.952
Intel;i3;1.721
AMD;A4-4000;1.860
Intel;i3;2.078
Intel;i3;2.046
Intel;i3;1.858
AMD;FX-6300;2.225
AMD;A4-4000;2.466
AMD;FX-6300;2.728
Intel;i3;2.095
Intel;i3;1.717
Intel;i5;2.106
Intel;i5;1.940
AMD;FX-6300;2.769
Intel;i5;2.113
AMD;A4-4000;2.578
Intel;i3;1.674
AMD;A4-4000;1.966
Intel;i5;2.000
Intel;i3;1.861
AMD;FX-6300;2.788
AMD;FX-6300;2.120
Intel;i5;2.102
AMD;A4-4000;2.568
AMD;A4-4000;1.914
AMD;FX-6300;2.306
AMD;A4-4000;2.584
AMD;A4-4000;2.405
AMD;FX-6300;2.485
Intel;i5;2.205
Intel;i3;1.769
AMD;A4-4000;2.221
AMD;FX-6300;2.707
Intel;i5;2.080
Intel;i5;2.037
