24,01/01/2012,DEPOSIT,$79
19,01/01/2012,WITHDRAWAL,$33
20,01/01/2012,WITHDRAWAL,$33
17,01/02/2012,WITHDRAWAL,$14
12,01/02/2012,WITHDRAWAL,$33
24,01/03/2012,WITHDRAWAL,$68
11,01/03/2012,WITHDRAWAL,$27
19,01/04/2012,DEPOSIT,$25
20,01/04/2012,WITHDRAWAL,$20
20,01/05/2012,WITHDRAWAL,$52
20,01/06/2012,DEPOSIT,$97
17,01/06/2012,DEPOSIT,$60
13,01/06/2012,DEPOSIT,$83
11,01/06/2012,WITHDRAWAL,$11
20,01/07/2012,DEPOSIT,$9
9,01/07/2012,DEPOSIT,$49
11,01/07/2012,DEPOSIT,$52
24,01/07/2012,DEPOSIT,$88
17,01/07/2012,DEPOSIT,$38
17,01/08/2012,WITHDRAWAL,$36
20,01/09/2012,WITHDRAWAL,$13
13,01/09/2012,WITHDRAWAL,$73
11,01/09/2012,WITHDRAWAL,$56
12,01/09/2012,WITHDRAWAL,$36
20,01/09/2012,WITHDRAWAL,$82
12,01/10/2012,WITHDRAWAL,$24
11,01/10/2012,DEPOSIT,$84
20,01/11/2012,WITHDRAWAL,$99
24,01/11/2012,DEPOSIT,$38
20,01/12/2012,DEPOSIT,$6
18,01/13/2012,WITHDRAWAL,$70
13,01/14/2012,WITHDRAWAL,$49
9,01/14/2012,DEPOSIT,$86
19,01/15/2012,DEPOSIT,$52
20,01/15/2012,DEPOSIT,$76
18,01/16/2012,DEPOSIT,$82
12,01/17/2012,DEPOSIT,$62
13,01/18/2012,DEPOSIT,$35
20,01/19/2012,WITHDRAWAL,$64
24,01/20/2012,DEPOSIT,$15
17,01/20/2012,WITHDRAWAL,$79
9,01/20/2012,DEPOSIT,$24
11,01/20/2012,WITHDRAWAL,$89
13,01/20/2012,WITHDRAWAL,$85
12,01/21/2012,WITHDRAWAL,$67
19,01/21/2012,WITHDRAWAL,$6
13,01/21/2012,DEPOSIT,$93
9,01/21/2012,WITHDRAWAL,$27
12,01/22/2012,WITHDRAWAL,$65
24,01/22/2012,WITHDRAWAL,$35
12,01/23/2012,WITHDRAWAL,$45
12,01/24/2012,DEPOSIT,$8
18,01/25/2012,DEPOSIT,$33
11,01/26/2012,DEPOSIT,$45
19,01/27/2012,DEPOSIT,$100
9,01/28/2012,DEPOSIT,$33
19,01/29/2012,WITHDRAWAL,$18
18,02/01/2012,DEPOSIT,$4
11,02/02/2012,DEPOSIT,$93
9,02/02/2012,WITHDRAWAL,$34
13,02/03/2012,WITHDRAWAL,$16
19,02/04/2012,WITHDRAWAL,$5
18,02/05/2012,DEPOSIT,$84
18,02/06/2012,WITHDRAWAL,$88
11,02/07/2012,DEPOSIT,$26
19,02/07/2012,DEPOSIT,$25
19,02/07/2012,WITHDRAWAL,$70
18,02/07/2012,WITHDRAWAL,$94
9,02/08/2012,WITHDRAWAL,$12
11,02/09/2012,DEPOSIT,$82
17,02/10/2012,WITHDRAWAL,$34
13,02/11/2012,DEPOSIT,$59
24,02/12/2012,DEPOSIT,$44
12,02/12/2012,WITHDRAWAL,$33
11,02/12/2012,DEPOSIT,$34
18,02/13/2012,WITHDRAWAL,$95
19,02/13/2012,DEPOSIT,$100
24,02/14/2012,DEPOSIT,$2
19,02/15/2012,DEPOSIT,$46
17,02/15/2012,WITHDRAWAL,$39
24,02/16/2012,DEPOSIT,$42
19,02/17/2012,DEPOSIT,$22
